ANTHROPOLOGY MATTHEA CREMERS 3.0
PSYCHOLOGY ALAN FRIDLUND 4.2
HISTORY HAROLD DRAKE 3.7
ENGLISH LEONARD TOURNEY 4.8
GEOGRAPHY STUART SWEENEY 2.8
POLITICAL SCIENCE ROGER DAVIDSON 3.5
ECONOMICS LISA MAASS 4.5
POLITICAL SCIENCE AARON BELKIN 4.2
HISTORY MONICA OROZCO 2.5
STATISTICS DAWN HOLMES 4.1
HISTORY SHARON FARMER 2.5
MATHEMATICS GUFONG WEI 2.0
SCIENCE DAVID HARRIS 2.5
ENGLISH CANDACE WAID 3.4
RELIGIOUS STUDIES INES TALAMANTEZ 2.7
LANGUAGES OLIVIER TONNERRE 4.7
ECONOMICS ROBERT CROUCH 3.0
LITERATURE ANTONIO CORTIJO 3.4
MATHEMATICS CHARLES AKEMANN 2.4
PHYSICS CLAUDIO CAMPAGNARI 3.3
ENGLISH HUGH MARSH 4.6
MATHEMATICS MARTIN SCHARLEMANN 2.8
EDUCATION SHERIDAN BLAU 3.9
ENGINEERING ANDREW TEEL 4.2
COMMUNICATION ANDREW FLANAGIN 4.0
COMMUNICATION DOLLY MULLIN 4.1
SOCIAL SCIENCE FRANCESCA GUERRA 3.5
ECONOMICS JON SONSTELIE 3.4
FINE ARTS GRAHAM BUDGETT 3.6
ECONOMICS RICH WATSON 3.2
LAW JENNIFER ROBINSON 4.4
ETHNIC STUDIES RAYMOND HUERTA 2.1
LAW JEANNE UMANA 4.5
SCIENCE FYL PINCUS 1.8
ENGLISH JOHN RIDLAND 3.4
PHILOSOPHY KEVIN FALVEY 3.2
PHILOSOPHY WILLIAM FORGIE 4.5
PHILOSOPHY MATTHEW HANSER 4.1
PHILOSOPHY BURLEIGH WILKINS 2.9
LANGUAGES KOJI FURUKAWA 4.1
MATHEMATICS DAVID HILBERT 3.7
POLITICAL SCIENCE ERIC SMITH 4.0
FILM LISA PARKS 4.6
POLITICAL SCIENCE KATHLEEN BRUHN 3.7
ENGLISH AARON ULLREY 2.9
MUSIC SCOTT MARCUS 3.4
SOCIAL SCIENCE RICHARD APPELBAUM 4.1
HISTORY ZARAGOSA VARGAS 4.4
GEOGRAPHY CATHERINE GAUTIER 2.7
HISTORY RANDY BERGSTROM 4.2
HISTORY ALBERT LINDEMANN 3.1
COMPUTER SCIENCE ALAN KONHEIM 2.0
COMPUTER SCIENCE HUGH MCGUIRE 3.2
ECONOMICS DOUG MORGAN 2.1
ECONOMICS DOUG STEIGERWALD 2.8
MATHEMATICS HECTOR CENICEROS 3.6
ENGINEERING FRED CARLIN 2.3
COMPUTER SCIENCE OSCAR IBARRA 2.6
COMPUTER SCIENCE CHANDRA KRINTZ 4.0
ENGLISH STEVEN SALMONI 4.8
PSYCHOLOGY RUSSELL REVLIN 3.7
POLITICAL SCIENCE BRUCE BIMBER 4.0
LAW LISA HAJJAR 4.3
LANGUAGES CHIKAKO SHINAGAWA 5.0
INTERNATIONAL STUDIES JOHN NATHAN 3.2
SCIENCE ROBERT GELLER 3.7
POLITICAL SCIENCE CHRIS PARKER 2.9
SOCIAL SCIENCE VALGREET JOHL 2.1
MATHEMATICS LARRY GERSTEIN 2.3
MATHEMATICS ADEBISI AGBOOLA 2.3
POLITICAL SCIENCE CHRIS COOK 4.2
SOCIAL SCIENCE BRITT ANDREATTA 3.3
PHILOSOPHY VOULA TSOUNA 3.5
MUSIC JIMMY MAIELLO 4.7
LANGUAGES HIROKO SUGAWARA 4.5
ANTHROPOLOGY DAVE CRAWFORD 4.0
HISTORY ERIKA RAPPAPORT 3.8
PSYCHOLOGY JOHN FOLEY 1.6
ENGINEERING ELIOT JACOBSON 3.3
MATHEMATICS THOMAS ROYBAL 4.3
ENGLISH WILLIAM WARNER 2.8
ARCHITECTURE FIKRET YEGUL 2.7
WRITING AULI EK 3.4
GLOBAL STUDIES GILES GUNN 2.9
WRITING ANGELICA DEANGELIS 4.3
COMMUNICATION MICHAEL STOHL 2.7
THEATER FRANK RIES 3.7
ETHNIC STUDIES XIAOJIAN ZHAO 3.7
ECONOMICS TED BERGSTROM 2.2
COMPUTER SCIENCE MIKE COSTANZO 3.7
MATHEMATICS FELIPE LINARES 2.3
STATISTICS JAYA BISHWAL 3.8
MATHEMATICS ADIL YAQUB 3.0
WRITING JEFFREY HANSON 5.0
STATISTICS ANDREW CARTER 3.1
STATISTICS RAISA FELDMAN 2.2
MATHEMATICS JEFFREY STOPPLE 3.7
ECONOMICS HENRY SANDER 3.5
SCIENCE DON AUE 2.7
SCIENCE ROBERT ANTONUCCI 2.9
ENGLISH CHRIS HOFFPAUIR 4.9
LANGUAGES ATSUKO HAYASHI 3.5
ENGLISH CHRIS NEWFIELD 4.0
SCIENCE BERNIE KIRTMAN 2.7
STATISTICS SREENIVASA JAMMALAMADAKA 4.5
ETHNIC STUDIES JANE DURAN 3.8
WRITING NICK TINGLE 4.5
HISTORY CECILIA MENDEZ 2.2
HISTORY MARY LAMPE 5.0
SCIENCE MIKE MAHAN 4.6
ECONOMICS CHRISTOPHER PROULX 2.7
